id,CCTV,피시방,버스정류장,공원,교차로,교회,스쿨존,놀이터,옐로카펫,위험지역,학원,target,경도,위도
16572,0,1,7,1,0,3,0,0,0,3,0,1,129.1071129,35.21584085
16598,0,0,4,1,1,0,0,2,0,0,7,1,129.1071129,35.13784085
16597,1,1,7,0,2,0,0,0,0,6,16,1,129.1071129,35.14084085
16596,0,0,0,0,0,1,3,0,1,0,11,1,129.1071129,35.14384085
16576,0,1,5,0,0,1,0,0,0,0,6,1,129.1071129,35.20384085
16583,0,3,1,0,0,2,0,1,0,0,5,1,129.1071129,35.18284085
16581,1,1,5,0,0,3,0,1,0,3,3,1,129.1071129,35.18884085
16580,1,0,10,2,1,0,1,1,0,2,11,1,129.1071129,35.19184085
16584,0,1,5,0,0,1,1,2,0,0,7,1,129.1071129,35.17984085
16590,0,0,6,0,0,1,2,5,0,0,2,1,129.1071129,35.16184085
16426,0,3,3,0,0,0,0,2,0,1,5,1,129.1035129,35.13784085
16407,0,1,2,3,0,0,1,1,0,0,5,1,129.1035129,35.19484085
16411,0,0,6,0,0,0,1,3,0,0,7,1,129.1035129,35.18284085
16409,0,1,2,1,0,0,0,0,0,2,10,1,129.1035129,35.18884085
16408,0,1,5,1,0,1,1,0,0,0,5,1,129.1035129,35.19184085
16415,0,0,3,0,0,1,1,1,0,1,10,1,129.1035129,35.17084085
16769,0,2,3,0,0,1,1,3,0,0,15,1,129.1107129,35.14084085
16768,1,0,5,0,1,1,1,0,0,2,15,1,129.1107129,35.14384085
16775,0,0,2,0,0,1,1,0,0,0,8,1,129.1107129,35.12284085
16777,0,2,6,0,0,1,1,1,0,0,3,1,129.1107129,35.11684085
16762,0,3,0,0,1,0,0,1,0,0,6,1,129.1107129,35.16184085
16767,0,4,10,0,1,2,1,1,0,5,10,1,129.1107129,35.14684085
16750,0,0,7,0,0,1,0,1,0,0,7,1,129.1107129,35.19784085
17104,0,5,7,0,0,1,0,0,0,3,1,1,129.1179129,35.16784085
17108,0,0,3,0,1,0,3,2,0,4,5,1,129.1179129,35.15584085
17092,0,2,8,0,0,0,0,1,0,0,7,1,129.1179129,35.20384085
17097,0,0,3,0,0,2,2,2,0,0,6,1,129.1179129,35.18884085
16948,1,0,2,1,0,0,2,1,0,0,7,1,129.1143129,35.11984085
16935,0,4,4,0,0,1,0,0,0,3,2,1,129.1143129,35.15884085
16934,0,2,3,0,0,2,0,0,0,4,5,1,129.1143129,35.16184085
16933,0,1,9,0,1,0,0,0,0,1,10,1,129.1143129,35.16484085
16932,1,2,9,0,0,1,2,1,0,4,0,1,129.1143129,35.16784085
16939,0,0,4,0,0,1,1,1,2,1,7,1,129.1143129,35.14684085
16921,0,0,3,0,0,0,3,2,0,0,4,1,129.1143129,35.20084085
17265,0,0,2,1,0,0,1,2,2,0,5,1,129.1215129,35.20084085
17272,0,0,9,0,1,0,2,3,0,0,3,1,129.1215129,35.17984085
17279,1,3,4,0,1,1,0,0,0,4,4,1,129.1215129,35.15884085
15537,0,1,2,0,0,0,0,0,0,1,6,1,129.0855129,35.22484085
15536,0,0,6,0,3,3,2,1,1,0,6,1,129.0855129,35.22784085
15540,0,0,7,0,0,1,1,2,0,0,9,1,129.0855129,35.21584085
15545,0,1,18,0,2,0,0,0,0,5,10,1,129.0855129,35.20084085
