id,CCTV,피시방,버스정류장,공원,교차로,교회,스쿨존,놀이터,옐로카펫,위험지역,학원,target,경도,위도
15532,0,0,6,0,0,1,0,0,0,0,7,1,129.0855129,35.23984085
15394,0,0,8,0,0,0,0,0,0,0,6,1,129.0819129,35.13784085
15402,0,0,8,2,0,0,1,0,0,0,2,1,129.0819129,35.11384085
15401,0,0,6,0,0,1,1,0,0,0,6,1,129.0819129,35.11684085
15376,0,0,2,0,0,0,0,2,0,4,4,1,129.0819129,35.19184085
15365,0,2,9,0,1,1,0,0,0,0,9,1,129.0819129,35.22484085
15364,0,0,3,0,0,0,2,3,1,0,9,1,129.0819129,35.22784085
15371,0,2,12,0,1,0,2,1,1,3,4,1,129.0819129,35.20684085
15370,0,0,9,0,0,1,0,1,0,0,17,1,129.0819129,35.20984085
15369,0,1,5,0,0,1,0,0,0,0,16,1,129.0819129,35.21284085
15738,0,1,6,0,0,2,0,0,0,0,12,1,129.0891129,35.13784085
15699,0,1,3,0,0,1,1,1,0,0,15,1,129.0891129,35.25484085
15698,0,1,3,0,0,0,1,1,0,1,7,1,129.0891129,35.25784085
15697,0,0,5,1,0,2,1,1,0,0,7,1,129.0891129,35.26084085
15702,0,2,6,1,0,0,0,2,0,0,12,1,129.0891129,35.24584085
15701,0,1,5,0,0,1,0,1,0,0,20,1,129.0891129,35.24884085
15700,0,0,8,1,0,0,1,1,1,0,3,1,129.0891129,35.25184085
15705,0,0,7,0,0,0,1,2,0,0,12,1,129.0891129,35.23684085
16070,0,1,12,0,0,0,0,0,0,1,3,1,129.0963129,35.17384085
15892,0,0,0,0,0,0,1,2,1,0,6,1,129.0927129,35.19184085
15875,0,0,9,2,1,0,0,0,0,0,3,1,129.0927129,35.24284085
15881,0,1,3,0,0,1,0,0,0,0,8,1,129.0927129,35.22484085
16256,0,2,4,0,0,0,2,0,0,2,3,1,129.0999129,35.13184085
16235,0,0,8,0,0,0,1,0,0,1,7,1,129.0999129,35.19484085
14513,0,0,8,1,2,1,1,0,0,2,10,1,129.0639129,35.20084085
14522,0,2,7,0,0,1,1,1,0,0,8,1,129.0639129,35.17384085
14526,0,1,14,0,1,0,0,0,0,3,3,1,129.0639129,35.16184085
14356,1,13,8,0,0,0,0,0,0,4,2,1,129.0603129,35.15584085
14362,0,3,11,0,1,1,0,0,0,8,0,1,129.0603129,35.13784085
